aac    |    audio/aac
bin    |    application/octet-stream
bmp    |    image/bmp
bz     |    application/x-bzip
bz2    |    application/x-bzip2
css    |    text/css
csv    |    text/csv
doc    |    application/msword
docx   |    application/vnd.openxmlformats-officedocument.wordprocessingml.document
eot    |    application/vnd.ms-fontobject
epub   |    application/epub+zip
gz     |    application/gzip
gif    |    image/gif
htm    |    text/html
html   |    text/html
ico    |    image/vnd.microsoft.icon
ics    |    text/calendar
jar    |    application/java-archive
jpeg   |    image/jpeg
jpg    |    image/jpeg
js     |    text/javascript
json   |    application/json
mid    |    audio/midi
midi   |    audio/midi
mp3    |    audio/mpeg
mpeg   |    video/mpeg
mpkg   |    application/vnd.apple.installer+xml
ogv    |    video/ogg
ogx    |    application/ogg
opus   |    audio/opus
otf    |    font/otf
png    |    image/png
pdf    |    application/pdf
ppt    |    application/vnd.ms-powerpoint
rar    |    application/vnd.rar
rtf    |    application/rtf
sh     |    application/x-sh
svg    |    image/svg+xml
tar    |    application/x-tar
tif    |    image/tiff
tiff   |    image/tiff
ts     |    video/mp2t
ttf    |    font/ttf
txt    |    text/plain
wav    |    audio/wav
weba   |    audio/webm
webm   |    video/webm
webp   |    image/webp
xhtml  |    application/xhtml+xml
xls    |    application/vnd.ms-excel
xlsx   |    application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
xml    |    application/xml
zip    |    application/zip
7z     |    application/x-7z-compressed
